,2m,3m,4.5m,6m
0,1.67553210258,3.0086684227,3.91712999344,5.2923374176
1,1.67008972168,3.01127004623,3.95552277565,5.28634500504
2,1.66123688221,2.99217748642,3.89961147308,5.23101139069
3,1.66380786896,2.99953651428,3.89544439316,5.26415491104
4,1.66442489624,3.00802278519,3.92756509781,5.2232837677
5,1.65979218483,3.09080505371,4.05275392532,5.36069917679
6,1.62588512897,3.03923940659,3.99735951424,5.22383117676
7,1.62758696079,3.04690217972,3.9487183094,5.21640968323
8,1.63029241562,3.05893015862,3.92868542671,5.23038434982
9,1.65131497383,3.07995772362,3.93483829498,5.29505252838
10,1.67292070389,3.01853680611,3.81556797028,5.27229690552
11,1.68541610241,3.04497075081,3.86105108261,5.27482366562
12,1.66557729244,3.00355243683,3.87563967705,5.28754138947
13,1.67609095573,3.03070521355,3.89387154579,5.31384420395
14,1.68025147915,3.04312610626,3.86845779419,5.31962442398
15,1.66794419289,3.14757847786,4.05050468445,5.33496189117
16,1.6439666748,3.06958341599,3.96839118004,5.29442405701
17,1.58291196823,2.967015028,3.8210132122,5.12463235855
18,1.71198821068,3.05288505554,3.95090198517,5.35561609268
19,1.67391264439,3.02665019035,3.88225698471,5.29616975784
20,1.66169297695,3.00955915451,3.91023635864,5.26147460938
21,1.62387740612,2.9180431366,3.79950737953,5.1554274559
22,1.66751158237,3.03860998154,3.93674516678,5.34990358353
23,1.67440545559,3.04927444458,3.94022965431,5.24879360199
24,1.67184960842,3.17022013664,4.15759801865,5.51093101501
25,1.6202545166,2.96575903893,3.96127867699,5.2249879837
26,1.63983201981,3.00055193901,3.85394144058,5.30180740356
27,1.64051425457,3.00708651543,3.83744311333,5.26855611801
28,1.64904105663,3.01329803467,3.8756301403,5.25200796127
29,1.65598618984,3.01877331734,3.86973452568,5.23438167572
30,1.67439186573,3.05875563622,3.92794156075,5.29352760315
31,1.65237271786,3.00275373459,3.86570882797,5.24649620056
32,1.66450440884,3.02445578575,3.84715604782,5.2667722702
33,1.67619478703,3.20859384537,4.10495185852,5.44814538956
34,1.58473134041,3.01392316818,3.83399868011,5.1500620842
35,1.67164564133,3.03019762039,3.93130040169,5.32690477371
36,1.69864916801,3.07196426392,3.96881318092,5.4009604454
37,1.66004896164,3.00992393494,3.91860127449,5.31860589981
38,1.64962208271,3.01457762718,3.93687605858,5.22688865662
39,1.67849874496,3.0550661087,3.94017291069,5.25646972656
40,1.65712678432,3.01737713814,3.92545223236,5.27841997147
41,1.67785537243,3.05795693398,3.988260746,5.34484386444
42,1.68010878563,3.00143671036,3.92034888268,5.28209543228
43,1.62324297428,2.98375511169,3.79508852959,5.1492600441
44,1.67535912991,3.05565547943,3.84545302391,5.30850601196
45,1.65216946602,3.01908922195,3.8141515255,5.23900651932
46,1.7081553936,3.1083984375,3.9598197937,5.41397285461
47,1.68687307835,3.03133869171,3.87611222267,5.28955078125
48,1.64615833759,2.97693228722,3.77456879616,5.19836473465
49,1.69622683525,3.14561581612,3.96103906631,5.45424222946
50,1.67738842964,3.04166173935,3.8934109211,5.3340010643
51,1.6722881794,2.99657821655,3.86583375931,5.18752193451
52,1.66285860538,3.01203131676,3.90342259407,5.3324804306
53,1.66925990582,3.00132369995,3.87235116959,5.23291730881
54,1.68096208572,3.04695773125,3.89694666862,5.30569028854
55,1.65226781368,3.05042052269,3.93212461472,5.36085176468
56,1.6614023447,3.00984025002,3.87286543846,5.29881954193
57,1.67264795303,3.02286100388,3.88749837875,5.25566959381
58,1.67094755173,3.05484580994,3.84423613548,5.26220560074
59,1.66486060619,3.03782176971,3.88871693611,5.30227661133
60,1.66077446938,3.05515217781,3.91257405281,5.2977142334
61,1.67449688911,3.00714755058,3.88614916801,5.28174495697
62,1.67824852467,3.05073022842,3.91726970673,5.33711719513
63,1.66182851791,2.98261713982,3.89529871941,5.22696304321
64,1.68127894402,2.98067927361,3.89321732521,5.19009065628
65,1.69754338264,3.03335523605,3.90955758095,5.28011274338
66,1.69495272636,3.05592107773,3.94414830208,5.39013195038
67,1.6568608284,3.04096651077,3.88212203979,5.29414749146
68,1.67918932438,3.03565406799,3.92603731155,5.33497571945
69,1.68355941772,3.05111002922,3.95251083374,5.30318641663
70,1.68548798561,3.07795977592,3.97764539719,5.37937355042
71,1.67317140102,3.04781246185,3.89696407318,5.33606672287
72,1.66113722324,3.00754308701,3.89411067963,5.25119590759
73,1.68149101734,3.03468704224,3.893689394,5.31956768036
74,1.67419207096,3.01414489746,3.91963863373,5.3248167038
75,1.67052590847,3.02985715866,3.98106026649,5.35220575333
76,1.67099440098,3.05301332474,3.96825170517,5.37185287476
77,1.64306926727,2.94396710396,3.8136100769,5.07870101929
78,1.69092404842,3.03899049759,3.95296502113,5.27105474472
79,1.67996692657,3.03181242943,3.90474247932,5.21383237839
80,1.65907645226,2.98854088783,3.8744559288,5.2149515152
81,1.67930209637,3.0362842083,3.92800450325,5.25778436661
82,1.67826592922,3.03140687943,3.91305804253,5.25655794144
83,1.67535841465,3.02738690376,3.94453835487,5.22679805756
84,1.68274641037,3.00710058212,3.91282582283,5.17575120926
85,1.65810108185,3.01387023926,3.93274354935,5.27624750137
86,1.66831123829,3.03210878372,3.92146134377,5.25487041473
87,1.68281805515,3.04559540749,3.96735405922,5.31230211258
88,1.67351436615,3.05482649803,3.94659471512,5.30208063126
89,1.6673719883,3.05364060402,3.92805171013,5.29932165146
90,1.66194283962,3.01481175423,3.91448426247,5.27942323685
91,1.65256893635,2.99037718773,3.88014864922,5.21527576447
92,1.69262754917,3.06280660629,3.92546415329,5.30200147629
93,1.70514023304,3.06241583824,3.93871307373,5.30159950256
94,1.69803214073,3.08221364021,3.96381449699,5.29402542114
95,1.68258142471,3.0139605999,3.88848853111,5.17896652222
96,1.69376444817,3.03562545776,3.91666293144,5.24853610992
97,1.65247499943,2.99480247498,3.86304569244,5.18281078339
98,1.6642935276,3.05112886429,3.93421554565,5.2851023674
99,1.64647197723,2.98208022118,3.82262635231,5.18466567993
100,1.6388001442,2.98176956177,3.92005801201,5.18687057495
101,1.66065073013,3.06338977814,3.94545412064,5.31124353409
102,1.69756174088,3.05027127266,3.96577310562,5.33725690842
103,1.66539573669,3.02246594429,3.90514135361,5.32123088837
104,1.68171393871,3.04114627838,3.92637729645,5.36278533936
105,1.68148958683,3.04552745819,3.90524530411,5.31689453125
106,1.68104612827,3.07907867432,3.91575622559,5.37683343887
107,1.7020970583,3.0809648037,3.96237683296,5.42478132248
108,1.69104015827,3.03216814995,3.83553171158,5.36223220825
109,1.67816543579,3.02914476395,3.85514473915,5.32286024094
110,1.7070132494,3.10864496231,4.01108646393,5.41668844223
111,1.69720351696,3.02044034004,3.93470573425,5.36160373688
112,1.68206250668,2.99214339256,3.89445590973,5.26138877869
113,1.7004545927,3.01656794548,3.93596625328,5.26353931427
114,1.70551800728,3.03885698318,3.97753787041,5.29420185089
115,1.68344986439,3.00627088547,3.92466902733,5.2362704277
116,1.66751158237,2.97664403915,3.90417647362,5.22535133362
117,1.69845998287,3.04075860977,3.97605729103,5.30665683746
118,1.67058038712,2.98765778542,3.93487691879,5.27585124969
119,1.6438190937,2.99110484123,3.89077115059,5.20561742783
120,1.65569078922,2.98463869095,3.91428160667,5.22879600525
121,1.67178547382,2.97947692871,3.91065311432,5.24579763412
122,1.66864454746,3.00735116005,3.90649676323,5.23230886459
123,1.68858158588,3.05401086807,3.97170090675,5.34028530121
124,1.67739200592,3.04866218567,3.90358018875,5.28298807144
125,1.67296910286,3.03713822365,3.93682456017,5.29112195969
126,1.66338837147,2.98056054115,3.83206701279,5.2062253952
127,1.67505848408,3.03650355339,3.92816019058,5.29973506927
128,1.66966700554,2.99226713181,3.88908171654,5.28250169754
129,1.67794668674,3.06686806679,3.95143222809,5.37132453918
130,1.65273654461,3.03737807274,3.90054678917,5.29789876938
131,1.65679967403,3.04091620445,3.93384027481,5.32618904114
132,1.67306208611,3.0482032299,4.00062465668,5.35873174667
133,1.67040002346,3.05825686455,3.97884082794,5.37887096405
134,1.65388858318,3.03531002998,3.9196498394,5.331199646
135,1.65834999084,3.03341984749,3.90845561028,5.33067274094
136,1.67909395695,3.09819459915,3.96033430099,5.30082035065
137,1.66026091576,3.07154035568,3.93363285065,5.26226902008
138,1.67288064957,3.06174206734,4.00199985504,5.35012483597
139,1.65300226212,3.02641487122,3.89890432358,5.22906780243
140,1.68732428551,3.03402519226,3.97051811218,5.31989049911
141,1.665102005,3.02439522743,3.8746483326,5.24216651917
142,1.67052614689,3.0701212883,3.96463751793,5.29692602158
143,1.67039823532,3.05535984039,3.97003960609,5.35159158707
144,1.66389298439,3.00578784943,3.93034863472,5.23004436493
145,1.66227662563,2.99383473396,3.85697889328,5.25804901123
146,1.66051363945,2.99147343636,3.85996246338,5.26421022415
147,1.66719222069,3.01885032654,3.88385176659,5.23436069489
148,1.68559718132,3.0741083622,3.93898677826,5.36111068726
149,1.66317868233,3.00358128548,3.86855459213,5.25090408325
150,1.68293440342,3.0405189991,3.93223404884,5.2855219841
151,1.69723963737,3.02913403511,3.95613789558,5.34934997559
152,1.66475117207,3.00637316704,3.90802335739,5.26815986633
153,1.63176989555,3.01567769051,3.89684987068,5.16304349899
154,1.64486336708,3.07703185081,3.95620179176,5.23626422882
155,1.64468097687,3.06871247292,3.89318203926,5.23518276215
156,1.69154059887,3.10983109474,3.94800519943,5.2972650528
157,1.68899321556,3.10469818115,3.9398496151,5.32406902313
158,1.66654407978,3.01657629013,3.88774204254,5.26319217682
159,1.63813650608,3.01985168457,3.8405995369,5.22453403473
160,1.64045131207,3.01012039185,3.87506127357,5.19959020615
161,1.70283687115,3.19181704521,4.08489084244,5.37845420837
162,1.61606836319,3.02150678635,3.8542535305,5.15267848969
163,1.66016697884,3.06343531609,3.90345573425,5.28205060959
164,1.63871395588,3.01656651497,3.80940842628,5.15079641342
165,1.66743648052,3.06665372849,3.9206430912,5.29658842087
166,1.65666604042,3.0119342804,3.87685322762,5.25421571732
167,1.67480921745,3.07846593857,3.95982384682,5.38389539719
168,1.6442565918,2.98211812973,3.82439947128,5.22951030731
169,1.70065402985,3.07618451118,4.00223493576,5.34856319427
170,1.61715316772,3.01634860039,3.93773651123,5.27522611618
171,1.6770144701,3.06727910042,4.00977230072,5.40884590149
172,1.69497203827,3.0677113533,4.01991462708,5.37319993973
173,1.67873430252,3.018679142,3.91841363907,5.30074214935
174,1.66534531116,3.03361797333,3.90073752403,5.33072662354
175,1.69135510921,3.09584641457,4.00177335739,5.46022987366
176,1.66748964787,3.03312182426,3.89935183525,5.34431409836
177,1.68497037888,3.07832241058,3.94563770294,5.39708566666
178,1.68352532387,3.18010807037,4.02778148651,5.26418066025
179,1.64436197281,3.07139396667,3.88378572464,5.22343444824
180,1.60512149334,3.00697255135,3.81208658218,5.09689092636
181,1.62514865398,3.04878592491,3.93976187706,5.27652549744
182,1.67210996151,3.09681296349,3.93354797363,5.3043217659
183,1.6754128933,3.05306124687,3.94428014755,5.27459096909
184,1.69183051586,3.06789851189,3.95948672295,5.32947492599
185,1.64542460442,3.0039525032,3.87321066856,5.24645376205
186,1.63542473316,2.97421479225,3.83228683472,5.16679573059
187,1.66669404507,3.01750445366,3.89411830902,5.2527680397
188,1.70935773849,3.16054749489,4.07274484634,5.31581687927
189,1.62675893307,3.02773427963,3.86031842232,5.18264341354
190,1.67854058743,3.1414911747,4.01096820831,5.37258148193
191,1.64024877548,3.05024385452,3.86090040207,5.2150554657
192,1.65353310108,3.07424736023,3.8956720829,5.27442932129
193,1.66052412987,3.06705403328,3.90243268013,5.27154397964
194,1.69958353043,3.13230895996,3.99087047577,5.42148351669
195,1.63001275063,2.95296120644,3.83989334106,5.14681196213
196,1.62660050392,2.9526052475,3.87422204018,5.1830329895
197,1.66852223873,2.999989748,3.93474912643,5.26321077347
198,1.68793261051,3.01588058472,3.9212884903,5.24553155899
199,1.72217047215,3.15792679787,4.00963878632,5.37752485275
200,1.63557457924,3.01702332497,3.85296773911,5.20015287399
201,1.65649092197,3.03925943375,3.89554834366,5.315762043
202,1.63630068302,3.00712823868,3.87164497375,5.35462093353
203,1.64102804661,2.94632220268,3.88854169846,5.26477909088
204,1.69335055351,3.06782102585,3.97999787331,5.3724360466
205,1.66009998322,3.0480298996,3.91709685326,5.33810424805
206,1.6416118145,3.0147690773,3.85963225365,5.22945213318
207,1.6203956604,2.94899749756,3.81350922585,5.18224811554
208,1.73552048206,3.22706007957,4.21352434158,5.5090136528
209,1.6290974617,3.05924153328,3.95115542412,5.31032657623
210,1.61826896667,3.04375195503,3.92998695374,5.30327367783
211,1.6352288723,3.04615020752,3.92788410187,5.29748106003
212,1.65492486954,3.0116789341,3.88931894302,5.16832971573
